12/08/00:18:33 00:18:33 - This nickname has already been used!
12/08/00:18:37 00:18:37 - This nickname has already been used!
12/08/00:18:37 00:18:37 - This nickname has already been used!
12/08/00:18:39 00:18:39 - This nickname has already been used!
12/08/00:18:39 00:18:39 - This nickname has already been used!
12/08/00:18:39 00:18:39 - This nickname has already been used!
12/08/00:19:25 00:19:25 - ERROR! - Roll is smaller than 0!
12/08/00:20:02 00:20:02 - ERROR! - Roll is smaller than 0!
12/08/00:20:20 00:20:20 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [8][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/00:20:26 00:20:26 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/00:20:32 00:20:32 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/00:20:36 00:20:36 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/00:20:37 00:20:37 - ERROR! - Roll is smaller than 0!
12/08/00:20:43 00:20:43 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/00:20:47 00:20:47 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/00:20:52 00:20:52 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/00:20:53 00:20:53 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/00:20:59 00:20:59 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/00:21:04 00:21:04 - ERROR! - yellow counter 2! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
