12/08/02:44:38 02:44:38 - ERROR! - Roll is smaller than 0!
12/08/02:44:42 02:44:42 - ERROR! - Roll is smaller than 0!
12/08/02:44:54 02:44:54 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [3][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:44:56 02:44:56 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:44:57 02:44:57 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:44:58 02:44:58 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:44:59 02:44:59 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:00 02:45:00 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:01 02:45:01 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:04 02:45:04 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:45:05 02:45:05 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:06 02:45:06 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:07 02:45:07 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:45:09 02:45:09 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:45:10 02:45:10 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:45:11 02:45:11 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:45:12 02:45:12 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:13 02:45:13 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:14 02:45:14 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:45:15 02:45:15 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:45:16 02:45:16 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:18 02:45:18 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:45:19 02:45:19 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:45:20 02:45:20 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:45:22 02:45:22 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:45:23 02:45:23 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:45:24 02:45:24 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:45:26 02:45:26 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:45:27 02:45:27 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:45:28 02:45:28 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:45:29 02:45:29 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:45:30 02:45:30 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:45:32 02:45:32 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:45:33 02:45:33 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:45:34 02:45:34 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:45:36 02:45:36 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:37 02:45:37 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:45:38 02:45:38 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:45:40 02:45:40 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
